susceptible,infectious,removed
0.9025741361589348,0.07841802732460244,0.019007836516462834
0.8485833658237718,0.08349800817812249,0.06791862599810587
0.876619095220658,0.05243826876719845,0.07094263601214364
0.9386049134277167,0.04763162889938304,0.013763457672900282
0.8617247198002966,0.10485208568487829,0.03342319451482501
0.8358593640082109,0.12416295653582683,0.03997767945596208
0.8549189696752328,0.11873609412409546,0.026344936200671788
0.7751790476770523,0.13791649967864225,0.08690445264430555
0.8124381011931157,0.11212804535321166,0.07543385345367279
0.773549270333454,0.14213148783760327,0.08431924182894278
0.7914169696292264,0.16580000683468585,0.0427830235360877
0.6936922177299482,0.21221141983774713,0.09409636243230456
0.7091134200699938,0.20140827389692476,0.08947830603308136
0.709774265973168,0.2064891737260781,0.08373656030075385
0.6426193944802185,0.2535799199664835,0.10380068555329784
0.5993689892052402,0.30537133582429543,0.09525967497046421
0.5376020041862635,0.35845797721032924,0.10394001860340732
0.48443869067662904,0.3764267084632341,0.13913460086013685
0.4323364418761228,0.4123759036980253,0.15528765442585185
0.35613733430710864,0.46139904044441116,0.1824636252484802
0.31147772535093304,0.5347189956349714,0.15380327901409557
0.2851845604624779,0.5196748547106215,0.1951405848269006
0.2648355508413733,0.5125176783492922,0.22264677080933445
0.18897691526043134,0.5670440993416216,0.24397898539794707
0.14939680238772157,0.5302972138156961,0.3203059837965824
0.1430977973050168,0.5635536771274446,0.2933485255675386
0.15403617378989362,0.54371737353644,0.30224645267366634
0.09772015758818885,0.5414677478147721,0.36081209459703906
0.1244890255462603,0.5006825685673585,0.3748284058863811
0.11681864609977617,0.5069942595670914,0.3761870943331325
0.09906217669023566,0.5086403112141968,0.39229751209556746
0.11283655538373585,0.49898652670017724,0.3881769179160868
0.06486061360629643,0.5400786554400069,0.39506073095369676
0.08511103313972636,0.44193737927688964,0.47295158758338396
0.10466721490065459,0.4594399168059564,0.4358928682933891
0.06968031753265007,0.46813067473700154,0.4621890077303484
0.08180150322812463,0.4247628381337466,0.4934356586381287
0.104748596870129,0.39079181656323747,0.5044595865666335
0.07822237629165733,0.38070297255700597,0.5410746511513366
0.05186294491952375,0.42169568627729764,0.5264413688031786
0.07744086316595819,0.3718933587409249,0.5506657780931168
0.0318661692190571,0.39266771168797754,0.5754661190929653
0.01653466212052572,0.4011643389748515,0.5823009989046228
0.0206997367884297,0.38898980819831175,0.5903104550132586
0.09380278866851947,0.3418897741481424,0.5643074371833381
0.09166260271583443,0.3069124281757754,0.6014249691083902
0.09082472007187697,0.31428370216906704,0.5948915777590559
0.05735139469141862,0.3131313909961219,0.6295172143124594
0.04985203550011435,0.3363832133308474,0.6137647511690383
0.07355084647883164,0.2716698920880128,0.6547792614331557
0.05030453274487919,0.25130288659959643,0.6983925806555243
0.07929093743935713,0.24819709622035227,0.6725119663402906
0.022206809700015775,0.3071830540585511,0.6706101362414332
0.04679463686195404,0.22410870874414798,0.7290966543938979
0.05358880703152321,0.2631357560244129,0.6832754369440638
0.08474832488276894,0.22363799442821808,0.691613680689013
0.08361297499756055,0.23688302409075024,0.6795040009116893
0.05771420878544422,0.1894313173772091,0.7528544738373467
0.04476319685775033,0.2586246889834614,0.6966121141587883
0.00972871773262542,0.2276624130711215,0.762608869196253
0.08789689382681387,0.17475100759467116,0.737352098578515
0.08943977013832005,0.1981446383361879,0.7124155915254922
0.008379883279044242,0.19742384343221966,0.7941962732887362
0.04839803879216703,0.19067064337734735,0.7609313178304856
0.004007326588253668,0.16494749575806777,0.8310451776536786
0.043404807066461,0.18518561193110697,0.7714095810024321
0.017872139146792625,0.1315095890102171,0.8506182718429903
0.07320240464574099,0.14557004101081444,0.7812275543434447
0.02112827398028271,0.15844488679704988,0.8204268392226675
0.09175307777182722,0.15097587544114136,0.7572710467870315
0.06851075415312259,0.11711955971260772,0.8143696861342697
0.015081183830149423,0.18217657328424872,0.8027422428856019
0.09441919418917387,0.10830078918366429,0.797280016627162
0.047011224529020026,0.1470906502597828,0.8058981252111972
0.038058582318994234,0.12502573436921582,0.8369156833117899
0.014098012037616311,0.1585169706881889,0.8273850172741949
0.007572315900510748,0.1638305188200978,0.8285971652793914
0.09065043857738132,0.11034954626925837,0.7990000151533603
0.023660149093283078,0.09157355443121623,0.8847662964755006
0.08692658324891166,0.08620164722345541,0.8268717695276329
0.001487835174510691,0.11828058305857682,0.8802315817669125
0.06758618809319704,0.09110635929766465,0.8413074526091383
0.07619010008807954,0.10651352361619436,0.817296376295726
0.07855321902674381,0.07783733553944985,0.8436094454338063
0.022987287663710075,0.11210351535878471,0.8649091969775052
0.05958111041691621,0.09286345640113715,0.8475554331819467
0.039432492895951084,0.1465458115160592,0.8140216955879896
0.06489445268420488,0.08119989652451337,0.8539056507912818
0.01811316434128156,0.11555953358375859,0.8663273020749599
0.03004311063580574,0.05932329120847673,0.9106335981557174
0.08595771786739206,0.12886055393254803,0.7851817282000599
0.010212842634841969,0.06818671171623428,0.9216004456489237
0.05776404448308975,0.1298607896871084,0.8123751658298017
0.0016193361851975245,0.06147176485501812,0.9369088989597844
0.01574084471329839,0.11015430554619528,0.8741048497405064
0.0036062249538265445,0.10047084967096231,0.8959229253752111
0.016836156608915392,0.1249912815899959,0.8581725618010887
0.023854714025621976,0.11284305623220821,0.8633022297421699
0.03863601811284795,0.11668897314849558,0.8446750087386566
0.03334641289872048,0.10443308265487686,0.8622205044464027
